frame,time_seconds,lifter_id,class,confidence,x1,y1,x2,y2,X_3D,Y_3D,Z_3D,W_3D,H_3D,D_3D
46,1.917,1,lifter,0.7913,194,1066,466,1512,-4.2478,0.1925,10.5472,0.4477,0.9595,0.2078
46,1.917,2,lifter,0.6906,1580,741,1664,920,-4.5415,0.2098,11.27,0.4816,1.0304,0.2247
46,1.917,3,lifter,0.6734,218,684,348,923,-6.1606,0.3071,15.2091,0.6498,1.3936,0.2881
46,1.917,4,lifter,0.2462,1341,1153,1666,1504,-5.2703,0.2564,13.0349,0.5547,1.1898,0.249
46,1.917,5,lifter,0.1836,772,1171,1072,1512,-4.5806,0.2119,11.3648,0.4856,1.0395,0.227
47,1.959,1,lifter,0.7917,194,1066,466,1512,-4.2483,0.1926,10.5486,0.4478,0.9597,0.2078
47,1.959,2,lifter,0.6959,1580,740,1664,920,-4.5655,0.2112,11.3288,0.4843,1.0361,0.226
47,1.959,3,lifter,0.6719,218,684,348,923,-6.16,0.307,15.2077,0.6497,1.3934,0.288
47,1.959,4,lifter,0.2443,1341,1153,1666,1504,-5.2754,0.2567,13.0473,0.5552,1.191,0.2492
47,1.959,5,lifter,0.1822,772,1171,1073,1512,-4.5802,0.2119,11.3639,0.4855,1.0394,0.227
48,2.0,1,lifter,0.7917,194,1066,466,1512,-4.2482,0.1925,10.5482,0.4478,0.9596,0.2078
48,2.0,2,lifter,0.6952,1580,740,1665,920,-4.5128,0.2081,11.2,0.4785,1.0237,0.2232
48,2.0,3,lifter,0.6743,218,684,348,923,-6.1603,0.3071,15.2083,0.6497,1.3935,0.2881
48,2.0,4,lifter,0.2427,1341,1153,1666,1504,-5.2728,0.2565,13.041,0.5549,1.1904,0.2491
48,2.0,5,lifter,0.1844,772,1171,1072,1512,-4.5792,0.2118,11.3615,0.4854,1.0392,0.227
49,2.042,1,lifter,0.7915,194,1066,466,1512,-4.2483,0.1925,10.5485,0.4478,0.9597,0.2078
49,2.042,2,lifter,0.6886,1580,740,1665,920,-4.5219,0.2087,11.2221,0.4795,1.0258,0.2237
49,2.042,3,lifter,0.6734,218,684,348,923,-6.1601,0.307,15.2078,0.6497,1.3934,0.288
49,2.042,4,lifter,0.2438,1341,1153,1666,1504,-5.2728,0.2565,13.0409,0.5549,1.1904,0.2491
49,2.042,5,lifter,0.1815,772,1171,1073,1512,-4.5802,0.2119,11.3639,0.4855,1.0394,0.227
50,2.084,1,lifter,0.7923,194,1066,466,1512,-4.2491,0.1926,10.5504,0.4479,0.9598,0.2078
50,2.084,2,lifter,0.6763,218,684,348,923,-6.1598,0.307,15.2072,0.6497,1.3934,0.288
50,2.084,3,lifter,0.6675,1580,740,1666,920,-4.5104,0.208,11.194,0.4782,1.0231,0.2231
50,2.084,4,lifter,0.2473,1341,1153,1666,1504,-5.2679,0.2562,13.0289,0.5544,1.1892,0.2489
50,2.084,5,lifter,0.1841,772,1171,1071,1512,-4.5795,0.2118,11.3622,0.4854,1.0393,0.227
51,2.125,1,lifter,0.7933,194,1066,466,1512,-4.2474,0.1925,10.5463,0.4477,0.9594,0.2078
51,2.125,2,lifter,0.6745,218,684,348,923,-6.1582,0.3069,15.2032,0.6495,1.393,0.288
51,2.125,3,lifter,0.6549,1581,739,1666,920,-4.5253,0.2089,11.2306,0.4799,1.0266,0.2239
51,2.125,4,lifter,0.2453,1341,1153,1666,1504,-5.2716,0.2565,13.038,0.5548,1.1901,0.2491
51,2.125,5,lifter,0.1808,772,1171,1074,1512,-4.5871,0.2123,11.3807,0.4862,1.041,0.2274
52,2.167,1,lifter,0.7934,194,1066,466,1512,-4.2463,0.1924,10.5437,0.4476,0.9592,0.2077
52,2.167,2,lifter,0.6763,218,684,348,923,-6.1547,0.3067,15.1945,0.6491,1.3922,0.2878
52,2.167,3,lifter,0.6444,1581,739,1665,920,-4.6308,0.2151,11.4884,0.4915,1.0515,0.2294
52,2.167,4,lifter,0.2464,1341,1153,1666,1504,-5.2704,0.2564,13.0351,0.5547,1.1898,0.249
52,2.167,5,lifter,0.1811,773,1171,1076,1512,-4.585,0.2122,11.3755,0.486,1.0404,0.2272
53,2.209,1,lifter,0.7935,194,1067,466,1512,-4.2481,0.1925,10.5481,0.4478,0.9596,0.2078
53,2.209,2,lifter,0.6745,218,684,348,923,-6.1559,0.3068,15.1975,0.6493,1.3925,0.2878
53,2.209,3,lifter,0.6384,1580,740,1665,920,-4.6477,0.2161,11.5297,0.4933,1.0555,0.2303
53,2.209,4,lifter,0.2477,1341,1153,1666,1504,-5.2698,0.2563,13.0336,0.5546,1.1897,0.249
53,2.209,5,lifter,0.1813,772,1171,1076,1512,-4.5875,0.2123,11.3816,0.4863,1.041,0.2273
54,2.251,1,lifter,0.7934,194,1067,466,1512,-4.2486,0.1926,10.5493,0.4478,0.9597,0.2078
54,2.251,2,lifter,0.679,218,684,348,923,-6.1541,0.3067,15.1932,0.6491,1.3921,0.2878
54,2.251,3,lifter,0.6575,1580,740,1665,920,-4.6572,0.2166,11.5529,0.4944,1.0577,0.2308
54,2.251,4,lifter,0.2438,1341,1153,1666,1504,-5.2698,0.2563,13.0335,0.5546,1.1897,0.249
54,2.251,5,lifter,0.18,773,1171,1078,1512,-4.5929,0.2126,11.3948,0.4868,1.0423,0.2276
