frame,time_seconds,confidence,x1,y1,x2,y2,X_3D,Y_3D,Z_3D,W_3D,H_3D,D_3D
270,11.253,0.758,229,681,347,921,-7.1248,0.3635,17.5646,0.753,1.6166,0.3345
271,11.294,0.7611,2011,728,2069,896,-4.8307,0.227,11.9773,0.5134,1.0985,0.2397
272,11.336,0.7951,2012,730,2073,899,-4.8616,0.2288,12.0528,0.5168,1.1058,0.2414
273,11.378,0.8563,2014,731,2075,900,-4.8731,0.2294,12.0808,0.5181,1.1085,0.242
274,11.419,0.8222,2011,730,2078,901,-4.8695,0.2292,12.072,0.5177,1.1077,0.2418
275,11.461,0.8755,2010,731,2079,903,-4.8777,0.2297,12.0921,0.5186,1.1096,0.2422
276,11.503,0.8284,2010,725,2080,905,-4.8548,0.2284,12.0361,0.5161,1.1042,0.2411
277,11.544,0.806,2013,731,2081,902,-4.8798,0.2298,12.0971,0.5189,1.1101,0.2424
278,11.586,0.7501,2011,726,2082,903,-4.8541,0.2283,12.0345,0.516,1.1041,0.241
279,11.628,0.7355,2010,727,2083,905,-4.8603,0.2287,12.0496,0.5167,1.1055,0.2413
280,11.669,0.731,231,672,345,927,-7.664,0.3947,18.8817,0.8104,1.7406,0.3604
281,11.711,0.7329,230,673,345,928,-7.5902,0.3905,18.7014,0.8026,1.7237,0.3569
282,11.753,0.7311,230,673,346,928,-7.5631,0.3889,18.6353,0.7998,1.7175,0.3556
283,11.794,0.7329,231,672,346,928,-7.6568,0.3943,18.8642,0.8097,1.739,0.3601
284,11.836,0.7296,231,672,346,928,-7.658,0.3944,18.867,0.8098,1.7393,0.3601
285,11.878,0.7309,231,672,346,928,-7.6475,0.3938,18.8416,0.8087,1.7369,0.3596
286,11.919,0.7313,231,673,346,928,-7.6283,0.3926,18.7946,0.8067,1.7325,0.3587
287,11.961,0.728,229,681,347,921,-7.196,0.3676,17.7385,0.7605,1.633,0.338
288,12.003,0.7291,229,681,347,921,-7.1962,0.3677,17.739,0.7606,1.633,0.338
289,12.044,0.7332,229,681,347,921,-7.1972,0.3677,17.7414,0.7607,1.6333,0.338
290,12.086,0.7305,230,673,347,928,-7.5651,0.3891,18.6403,0.8,1.718,0.3557
291,12.128,0.7302,230,673,347,928,-7.5651,0.3891,18.6402,0.8,1.718,0.3557
292,12.169,0.7317,230,673,346,928,-7.5964,0.3908,18.7166,0.8033,1.7252,0.3572
293,12.211,0.7307,228,681,347,921,-7.1628,0.3657,17.6575,0.757,1.6254,0.3364
294,12.253,0.7686,227,679,348,925,-7.3154,0.3747,18.03,0.7734,1.6608,0.3438
295,12.294,0.7682,227,680,348,925,-7.2011,0.3681,17.7509,0.7613,1.6345,0.3383
296,12.336,0.7669,226,679,348,925,-7.2516,0.371,17.8742,0.7666,1.6461,0.3407
297,12.378,0.8024,2015,719,2112,900,-4.8286,0.2269,11.972,0.5131,1.098,0.2396
298,12.419,0.7772,2021,721,2113,898,-4.8255,0.2267,11.9644,0.5128,1.0973,0.2395
299,12.461,0.7904,2021,721,2114,897,-4.8213,0.2265,11.9542,0.5123,1.0963,0.2392
300,12.503,0.7717,2010,715,2114,895,-4.8304,0.227,11.9765,0.5133,1.0984,0.2397
301,12.545,0.7666,226,680,348,924,-7.1828,0.367,17.7062,0.7593,1.6302,0.3374
302,12.586,0.7646,226,680,348,925,-7.1407,0.3646,17.6035,0.7548,1.6206,0.3354
303,12.628,0.7656,227,680,348,925,-7.1995,0.368,17.7471,0.7611,1.6341,0.3382
